Q_diff,Q_router,Q_oracle
14,16,2
15,16,1
15,16,1
15,17,2
15,16,1
15,16,1
15,16,1
15,16,1
14,15,1
14,15,1
14,15,1
14,15,1
14,15,1
14,15,1
14,16,2
14,15,1
14,15,1
14,16,2
14,17,3
14,17,3
14,18,4
14,17,3
14,17,3
14,18,4
15,19,4
15,18,3
14,17,3
14,17,3
13,17,4
13,16,3
13,16,3
13,16,3
13,16,3
13,17,4
13,16,3
13,16,3
13,16,3
13,17,4
13,16,3
13,17,4
13,17,4
13,17,4
14,18,4
15,18,3
15,18,3
15,18,3
15,18,3
15,17,2
15,17,2
14,16,2
13,15,2
13,15,2
13,15,2
13,15,2
13,16,3
13,17,4
13,16,3
13,17,4
14,17,3
14,17,3
13,17,4
13,17,4
13,17,4
13,17,4
13,16,3
13,16,3
13,17,4
14,17,3
14,16,2
14,16,2
14,16,2
14,17,3
14,16,2
14,16,2
14,16,2
14,16,2
14,17,3
15,17,2
15,18,3
16,19,3
17,19,2
17,20,3
17,20,3
17,19,2
17,19,2
17,20,3
17,20,3
17,19,2
17,19,2
17,19,2
17,19,2
17,19,2
16,18,2
16,19,3
17,20,3
17,20,3
17,19,2
17,18,1
17,19,2
17,18,1
17,19,2
17,19,2
17,18,1
17,18,1
17,18,1
17,18,1
17,18,1
17,18,1
17,17,0
17,17,0
17,17,0
17,17,0
17,17,0
16,16,0
16,17,1
16,16,0
16,16,0
16,16,0
16,16,0
16,16,0
16,16,0
16,17,1
17,17,0
17,17,0
17,17,0
16,16,0
16,17,1
17,17,0
17,18,1
17,17,0
17,17,0
17,18,1
17,17,0
17,17,0
17,18,1
17,17,0
16,16,0
16,17,1
16,17,1
16,18,2
16,18,2
17,19,2
17,19,2
17,20,3
17,19,2
17,18,1
17,18,1
17,18,1
17,18,1
17,18,1
17,19,2
17,18,1
17,19,2
17,18,1
17,19,2
17,19,2
17,18,1
17,19,2
17,19,2
17,18,1
17,19,2
17,18,1
17,18,1
17,17,0
17,17,0
17,17,0
17,18,1
17,17,0
17,17,0
17,18,1
17,17,0
17,18,1
17,18,1
17,17,0
17,18,1
17,17,0
17,17,0
17,18,1
17,17,0
17,17,0
17,17,0
16,17,1
16,16,0
16,16,0
16,17,1
16,16,0
16,16,0
16,16,0
16,16,0
15,16,1
15,15,0
15,15,0
14,14,0
14,15,1
14,14,0
14,15,1
14,14,0
14,14,0
14,15,1
14,14,0
14,15,1
14,14,0
14,14,0
14,15,1
14,14,0
14,14,0
14,14,0
14,15,1
14,14,0
14,14,0
14,15,1
15,15,0
15,15,0
15,15,0
15,15,0
15,16,1
15,15,0
14,14,0
14,14,0
14,14,0
14,15,1
14,14,0
14,14,0
14,15,1
14,14,0
14,15,1
14,15,1
14,14,0
14,14,0
14,14,0
14,15,1
15,15,0
15,16,1
15,15,0
14,14,0
14,14,0
14,15,1
14,16,2
15,16,1
15,16,1
15,16,1
14,16,2
14,16,2
14,15,1
14,16,2
14,15,1
14,16,2
14,15,1
14,14,0
14,15,1
14,15,1
14,14,0
14,14,0
14,14,0
14,15,1
14,14,0
14,15,1
14,14,0
14,14,0
14,14,0
14,14,0
14,14,0
14,15,1
15,15,0
15,15,0
14,14,0
14,14,0
14,15,1
14,14,0
14,14,0
14,15,1
14,14,0
14,15,1
15,15,0
15,15,0
15,16,1
15,17,2
15,16,1
15,17,2
15,16,1
15,17,2
15,16,1
15,16,1
15,16,1
15,16,1
15,16,1
15,16,1
15,16,1
15,17,2
15,17,2
15,16,1
15,16,1
15,17,2
15,16,1
15,16,1
15,17,2
16,18,2
16,17,1
15,16,1
15,17,2
15,17,2
16,18,2
17,19,2
17,18,1
17,19,2
17,19,2
17,18,1
17,18,1
17,18,1
17,18,1
17,17,0
17,18,1
17,17,0
17,18,1
17,17,0
17,17,0
16,17,1
16,16,0
16,16,0
16,16,0
16,16,0
15,15,0
14,14,0
14,15,1
14,14,0
14,14,0
14,14,0
14,14,0
14,14,0
14,15,1
15,15,0
15,15,0
15,16,1
16,16,0
16,17,1
16,16,0
15,16,1
15,15,0
15,16,1
16,16,0
15,16,1
15,15,0
14,15,1
14,14,0
14,14,0
14,15,1
15,15,0
15,15,0
15,16,1
15,15,0
14,15,1
14,14,0
14,14,0
14,14,0
14,14,0
14,14,0
14,14,0
13,13,0
12,12,0
12,12,0
12,13,1
12,12,0
12,12,0
12,13,1
12,12,0
12,13,1
12,12,0
12,12,0
12,13,1
13,14,1
13,13,0
13,13,0
13,14,1
13,14,1
13,14,1
13,13,0
12,12,0
12,12,0
12,13,1
12,14,2
12,14,2
12,13,1
12,13,1
12,12,0
12,12,0
12,12,0
12,12,0
12,12,0
12,12,0
12,12,0
12,13,1
12,13,1
12,13,1
12,12,0
12,12,0
12,12,0
12,12,0
12,12,0
11,12,1
11,11,0
11,11,0
11,11,0
11,12,1
12,12,0
12,12,0
12,12,0
11,11,0
11,12,1
11,11,0
11,11,0
11,11,0
11,11,0
11,12,1
11,11,0
11,11,0
11,11,0
11,12,1
11,12,1
11,12,1
11,12,1
11,13,2
11,12,1
11,12,1
11,12,1
11,12,1
11,12,1
11,13,2
12,13,1
11,12,1
11,13,2
11,12,1
10,11,1
10,11,1
10,11,1
10,11,1
11,12,1
11,12,1
11,11,0
11,11,0
11,12,1
11,11,0
10,10,0
10,10,0
10,10,0
10,11,1
11,11,0
11,11,0
11,11,0
11,11,0
11,11,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,11,1
10,11,1
10,10,0
9,9,0
9,9,0
9,9,0
9,10,1
10,10,0
10,11,1
9,10,1
10,10,0
10,10,0
10,10,0
10,10,0
10,11,1
10,10,0
10,10,0
10,10,0
9,9,0
9,9,0
9,9,0
9,9,0
9,9,0
9,9,0
9,9,0
9,10,1
10,11,1
10,11,1
10,10,0
9,10,1
9,10,1
9,9,0
9,10,1
9,10,1
10,11,1
11,12,1
11,11,0
11,12,1
11,11,0
11,12,1
11,11,0
11,12,1
11,11,0
11,11,0
10,10,0
10,10,0
10,10,0
9,10,1
9,10,1
9,9,0
8,8,0
8,8,0
8,8,0
8,9,1
9,9,0
9,9,0
8,8,0
8,9,1
9,9,0
9,9,0
9,10,1
9,9,0
9,9,0
9,10,1
9,9,0
8,8,0
8,8,0
8,9,1
8,9,1
8,8,0
8,9,1
8,8,0
8,8,0
8,8,0
8,9,1
8,8,0
8,8,0
8,8,0
8,8,0
8,9,1
8,8,0
8,9,1
8,8,0
8,8,0
8,9,1
8,9,1
8,8,0
8,8,0
8,8,0
8,9,1
8,9,1
8,8,0
8,9,1
8,8,0
8,8,0
8,9,1
8,8,0
8,8,0
8,8,0
8,8,0
8,8,0
8,9,1
8,9,1
8,10,2
9,10,1
9,10,1
9,10,1
9,9,0
8,8,0
8,9,1
8,9,1
8,9,1
9,9,0
9,10,1
10,10,0
10,10,0
10,10,0
10,11,1
10,11,1
10,11,1
10,11,1
10,11,1
10,11,1
10,10,0
10,11,1
10,10,0
10,10,0
10,11,1
10,10,0
10,10,0
10,11,1
11,11,0
10,10,0
10,10,0
10,10,0
10,11,1
10,10,0
9,9,0
9,9,0
9,9,0
8,9,1
8,9,1
8,9,1
8,9,1
8,9,1
8,10,2
9,10,1
9,10,1
9,11,2
10,11,1
10,11,1
10,11,1
10,12,2
10,12,2
10,11,1
10,11,1
10,11,1
10,12,2
10,11,1
9,11,2
9,10,1
9,9,0
9,9,0
9,9,0
9,9,0
9,9,0
8,8,0
8,9,1
8,9,1
8,8,0
8,8,0
8,9,1
8,9,1
8,9,1
9,10,1
9,10,1
10,10,0
10,10,0
10,10,0
10,11,1
11,12,1
11,12,1
11,11,0
11,12,1
12,12,0
12,12,0
11,12,1
12,12,0
12,12,0
12,12,0
11,11,0
11,11,0
11,12,1
11,11,0
10,10,0
10,10,0
10,10,0
9,9,0
9,9,0
9,9,0
9,9,0
9,9,0
9,10,1
10,10,0
10,11,1
11,11,0
11,11,0
11,12,1
11,11,0
10,10,0
9,9,0
9,9,0
9,10,1
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
10,10,0
9,10,1
9,10,1
9,9,0
9,9,0
9,9,0
9,9,0
9,9,0
9,9,0
9,9,0
8,8,0
8,9,1
8,8,0
8,9,1
8,8,0
8,9,1
8,9,1
8,8,0
8,9,1
9,10,1
9,10,1
9,11,2
9,10,1
9,10,1
9,9,0
9,9,0
9,10,1
9,10,1
9,9,0
9,9,0
9,10,1
9,9,0
9,9,0
9,9,0
9,9,0
9,9,0
9,9,0
8,8,0
8,8,0
8,8,0
7,8,1
7,7,0
7,7,0
7,8,1
7,7,0
6,7,1
6,7,1
6,6,0
6,7,1
6,7,1
6,6,0
6,6,0
6,6,0
6,6,0
6,6,0
6,6,0
6,7,1
6,7,1
6,8,2
6,7,1
6,6,0
6,6,0
6,6,0
5,6,1
5,5,0
5,6,1
6,6,0
5,5,0
5,5,0
5,6,1
6,6,0
6,6,0
6,6,0
6,6,0
5,5,0
5,5,0
5,5,0
5,5,0
4,5,1
5,5,0
4,4,0
4,4,0
4,4,0
3,4,1
4,5,1
4,4,0
3,3,0
3,4,1
3,4,1
3,4,1
3,5,2
3,4,1
3,4,1
3,4,1
3,3,0
3,4,1
4,5,1
4,4,0
4,4,0
3,3,0
3,3,0
3,4,1
3,3,0
3,4,1
3,4,1
3,3,0
3,3,0
3,3,0
3,3,0
3,4,1
3,4,1
3,4,1
3,4,1
3,3,0
3,4,1
3,3,0
3,3,0
3,4,1
4,5,1
4,4,0
4,4,0
4,5,1
4,5,1
4,5,1
4,4,0
4,4,0
4,5,1
5,5,0
5,6,1
6,6,0
6,6,0
5,5,0
4,4,0
4,5,1
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,5,1
4,4,0
4,4,0
4,4,0
4,5,1
5,5,0
4,4,0
4,5,1
4,4,0
3,3,0
3,4,1
4,4,0
4,4,0
4,5,1
4,5,1
4,5,1
5,6,1
5,5,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
3,4,1
3,3,0
3,3,0
3,4,1
3,3,0
3,3,0
3,3,0
3,3,0
3,4,1
4,4,0
4,4,0
4,4,0
3,3,0
3,3,0
2,3,1
2,4,2
3,4,1
3,4,1
3,4,1
3,4,1
3,3,0
3,4,1
3,4,1
3,4,1
3,4,1
3,4,1
3,3,0
2,2,0
2,2,0
2,3,1
3,3,0
3,4,1
4,5,1
4,4,0
3,3,0
2,2,0
2,2,0
2,2,0
2,3,1
3,4,1
3,3,0
2,2,0
1,1,0
1,1,0
1,1,0
1,1,0
1,2,1
1,1,0
1,2,1
1,2,1
1,2,1
1,3,2
1,2,1
1,2,1
1,2,1
1,3,2
1,3,2
1,2,1
1,3,2
1,2,1
1,2,1
1,3,2
1,3,2
1,4,3
2,4,2
2,4,2
2,3,1
2,4,2
3,4,1
3,4,1
2,4,2
2,3,1
2,3,1
2,4,2
3,4,1
3,5,2
4,5,1
4,5,1
4,5,1
4,5,1
4,4,0
4,5,1
4,5,1
5,6,1
5,6,1
5,5,0
4,4,0
3,3,0
3,3,0
3,4,1
3,4,1
3,4,1
3,5,2
3,4,1
3,4,1
3,4,1
3,5,2
3,4,1
3,3,0
3,3,0
3,3,0
3,4,1
3,5,2
4,5,1
4,5,1
4,6,2
4,6,2
4,6,2
5,7,2
5,7,2
5,6,1
5,5,0
5,6,1
5,5,0
5,5,0
5,5,0
5,6,1
5,6,1
5,6,1
5,5,0
5,6,1
5,5,0
5,6,1
5,5,0
5,5,0
5,6,1
5,6,1
5,6,1
5,5,0
4,4,0
4,5,1
4,5,1
4,5,1
4,5,1
5,6,1
5,5,0
4,4,0
4,4,0
4,5,1
4,4,0
4,4,0
4,4,0
3,3,0
3,3,0
3,4,1
3,3,0
3,3,0
3,3,0
3,3,0
3,4,1
4,5,1
4,5,1
5,6,1
5,5,0
5,5,0
4,5,1
4,4,0
3,3,0
3,4,1
3,4,1
3,3,0
3,3,0
3,3,0
2,2,0
2,3,1
2,3,1
2,2,0
2,3,1
2,2,0
2,3,1
3,4,1
3,4,1
3,4,1
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
3,3,0
3,3,0
2,3,1
3,3,0
3,3,0
3,4,1
3,3,0
3,3,0
3,3,0
2,2,0
2,2,0
2,3,1
2,3,1
2,2,0
2,2,0
1,1,0
1,2,1
2,2,0
2,2,0
2,3,1
2,2,0
2,2,0
2,2,0
1,2,1
1,1,0
1,1,0
1,1,0
0,1,1
1,1,0
0,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,1
0,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,1
0,0,0
0,1,1
0,0,0
0,1,1
1,1,0
1,1,0
0,0,0
0,1,1
0,0,0
0,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,1,1
1,1,0
1,2,1
1,1,0
1,1,0
1,1,0
1,2,1
1,2,1
1,1,0
1,1,0
1,1,0
1,1,0
1,2,1
1,2,1
1,2,1
2,2,0
2,2,0
2,3,1
2,2,0
2,2,0
2,3,1
2,2,0
1,1,0
1,1,0
1,1,0
1,2,1
2,3,1
3,3,0
2,3,1
2,2,0
2,2,0
2,2,0
2,3,1
2,3,1
2,3,1
2,4,2
3,4,1
3,4,1
3,4,1
3,5,2
3,4,1
3,4,1
3,5,2
3,4,1
3,5,2
3,4,1
2,4,2
2,3,1
2,3,1
2,4,2
3,4,1
3,3,0
3,3,0
3,4,1
3,5,2
3,4,1
3,5,2
3,5,2
4,5,1
4,5,1
4,6,2
5,6,1
5,6,1
5,6,1
5,6,1
4,6,2
5,6,1
5,7,2
5,7,2
5,6,1
5,6,1
5,5,0
4,4,0
4,4,0
4,5,1
4,5,1
4,4,0
3,4,1
4,4,0
3,3,0
3,3,0
3,3,0
3,4,1
3,3,0
3,4,1
3,3,0
3,3,0
3,3,0
3,3,0
3,4,1
3,3,0
2,2,0
2,2,0
2,2,0
2,2,0
2,3,1
3,3,0
3,4,1
3,4,1
3,3,0
2,2,0
2,3,1
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,3,1
2,4,2
2,4,2
2,4,2
2,3,1
2,3,1
3,3,0
3,4,1
3,3,0
3,3,0
3,3,0
3,3,0
3,3,0
3,4,1
3,3,0
3,3,0
3,3,0
3,4,1
3,4,1
3,3,0
3,3,0
3,3,0
2,3,1
3,4,1
3,4,1
3,4,1
4,4,0
3,4,1
3,3,0
2,2,0
1,2,1
1,1,0
1,1,0
1,1,0
1,2,1
1,2,1
2,2,0
1,2,1
1,1,0
1,2,1
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,2,1
1,2,1
1,3,2
1,2,1
1,2,1
1,2,1
1,3,2
1,2,1
1,2,1
1,2,1
1,2,1
1,3,2
1,3,2
1,3,2
1,4,3
1,3,2
1,3,2
1,2,1
1,1,0
1,1,0
1,1,0
1,2,1
1,2,1
1,2,1
1,1,0
1,2,1
1,1,0
1,2,1
1,1,0
1,2,1
1,1,0
1,1,0
1,1,0
1,1,0
1,2,1
1,2,1
1,2,1
1,1,0
1,1,0
1,1,0
0,0,0
0,1,1
0,1,1
0,1,1
0,2,2
0,2,2
0,2,2
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,2,2
0,1,1
0,1,1
0,1,1
0,0,0
0,1,1
1,1,0
1,2,1
1,1,0
1,2,1
1,2,1
2,2,0
1,1,0
0,0,0
0,1,1
1,1,0
1,1,0
1,1,0
1,2,1
1,2,1
1,1,0
0,0,0
0,1,1
0,0,0
0,0,0
0,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,1,1
0,0,0
0,0,0
0,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,1,1
0,1,1
0,0,0
0,1,1
1,2,1
1,2,1
1,1,0
0,1,1
0,1,1
0,2,2
0,2,2
0,1,1
0,2,2
0,2,2
0,2,2
0,3,3
0,2,2
0,1,1
0,1,1
0,1,1
0,2,2
0,2,2
0,2,2
1,3,2
2,3,1
1,3,2
1,2,1
1,2,1
1,1,0
1,2,1
1,1,0
1,1,0
1,1,0
1,2,1
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,2,1
2,2,0
2,2,0
2,2,0
1,1,0
0,1,1
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,1,1
0,0,0
0,0,0
0,0,0
0,1,1
0,1,1
0,0,0
0,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,1,1
0,0,0
0,0,0
0,0,0
0,1,1
0,0,0
0,1,1
0,1,1
0,1,1
1,2,1
1,2,1
1,1,0
1,1,0
1,1,0
1,1,0
1,2,1
2,2,0
2,2,0
2,2,0
2,3,1
2,3,1
2,2,0
2,3,1
2,2,0
2,2,0
2,3,1
2,2,0
2,2,0
1,2,1
1,1,0
1,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,1
0,1,1
0,0,0
0,1,1
0,0,0
0,1,1
0,0,0
0,0,0
0,0,0
0,1,1
1,2,1
1,2,1
1,1,0
0,1,1
0,1,1
0,1,1
0,1,1
0,0,0
0,1,1
1,1,0
1,1,0
0,1,1
0,1,1
0,1,1
0,2,2
1,2,1
1,2,1
1,2,1
1,3,2
1,2,1
1,2,1
1,3,2
1,2,1
1,2,1
1,3,2
2,3,1
2,3,1
2,3,1
2,3,1
2,2,0
2,2,0
2,3,1
2,2,0
2,2,0
2,2,0
2,2,0
2,3,1
3,4,1
3,4,1
3,3,0
3,3,0
2,2,0
2,3,1
2,2,0
1,1,0
1,1,0
1,1,0
1,2,1
1,2,1
1,1,0
1,1,0
1,1,0
1,1,0
1,2,1
1,2,1
2,2,0
2,3,1
2,2,0
1,1,0
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
2,2,0
1,1,0
1,2,1
1,2,1
2,2,0
2,3,1
3,3,0
3,3,0
3,3,0
3,3,0
2,2,0
2,2,0
2,2,0
1,1,0
1,1,0
1,2,1
1,1,0
1,1,0
1,2,1
2,2,0
1,1,0
0,0,0
0,0,0
0,1,1
1,2,1
1,1,0
0,0,0
0,1,1
0,0,0
0,0,0
0,0,0
0,1,1
0,1,1
0,1,1
0,1,1
1,2,1
1,3,2
2,3,1
2,3,1
2,3,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,1,0
1,2,1
1,2,1
1,2,1
1,3,2
1,3,2
1,4,3
1,3,2
1,4,3
1,3,2
1,4,3
1,3,2
1,3,2
1,3,2
1,3,2
1,4,3
2,4,2
2,4,2
2,4,2
2,4,2
2,4,2
2,4,2
2,5,3
2,5,3
2,5,3
2,5,3
1,4,3
1,4,3
1,5,4
1,4,3
1,5,4
1,4,3
1,4,3
1,5,4
1,5,4
2,5,3
2,6,4
3,6,3
3,7,4
4,7,3
4,7,3
4,8,4
4,7,3
3,6,3
3,6,3
3,6,3
3,6,3
3,5,2
3,4,1
3,4,1
3,4,1
3,4,1
3,4,1
3,5,2
4,6,2
4,5,1
4,5,1
4,6,2
5,7,2
5,6,1
5,5,0
5,5,0
5,5,0
5,6,1
5,5,0
5,5,0
5,5,0
4,4,0
4,5,1
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
4,5,1
4,5,1
4,4,0
4,4,0
4,5,1
4,5,1
4,4,0
4,5,1
5,5,0
5,6,1
5,6,1
5,5,0
4,4,0
4,4,0
4,4,0
4,5,1
4,6,2
4,6,2
4,6,2
4,7,3
4,7,3
4,7,3
4,8,4
4,7,3
4,7,3
4,6,2
4,6,2
4,6,2
4,6,2
4,6,2
4,6,2
4,6,2
4,6,2
4,7,3
4,7,3
4,6,2
4,6,2
4,6,2
4,7,3
4,7,3
4,7,3
4,6,2
4,7,3
5,7,2
5,7,2
5,7,2
5,6,1
5,7,2
6,7,1
6,7,1
6,8,2
6,7,1
6,8,2
6,7,1
6,8,2
6,9,3
6,9,3
6,8,2
6,9,3
7,9,2
7,8,1
7,8,1
7,8,1
7,8,1
7,8,1
7,7,0
7,7,0
7,7,0
7,8,1
7,7,0
7,7,0
7,7,0
7,8,1
8,9,1
8,8,0
8,8,0
8,8,0
8,8,0
8,8,0
7,7,0
7,7,0
7,8,1
7,7,0
7,7,0
7,7,0
7,7,0
7,7,0
7,7,0
7,7,0
7,8,1
7,8,1
7,8,1
7,8,1
7,8,1
7,8,1
7,8,1
7,8,1
7,7,0
7,8,1
7,7,0
7,7,0
7,7,0
7,8,1
7,7,0
7,7,0
7,7,0
7,7,0
7,7,0
7,8,1
7,8,1
7,9,2
7,8,1
7,8,1
7,8,1
7,9,2
7,8,1
7,8,1
7,8,1
7,8,1
7,9,2
7,8,1
7,8,1
7,7,0
7,7,0
6,7,1
7,7,0
7,8,1
8,9,1
9,9,0
8,8,0
7,8,1
7,7,0
7,7,0
7,8,1
7,9,2
7,8,1
7,8,1
7,8,1
7,7,0
7,7,0
7,8,1
7,7,0
7,7,0
6,6,0
5,6,1
5,6,1
6,6,0
5,5,0
5,6,1
5,6,1
6,6,0
6,6,0
6,6,0
6,6,0
6,7,1
6,6,0
6,6,0
5,5,0
5,5,0
5,6,1
5,5,0
5,5,0
5,6,1
5,6,1
5,6,1
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,6,1
5,6,1
5,7,2
5,8,3
5,8,3
5,7,2
5,7,2
5,7,2
5,6,1
5,6,1
5,6,1
5,6,1
5,6,1
5,6,1
5,7,2
5,6,1
5,7,2
5,6,1
5,6,1
5,6,1
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
4,4,0
3,3,0
3,3,0
3,4,1
3,4,1
3,4,1
3,5,2
3,5,2
3,5,2
3,5,2
3,5,2
3,5,2
3,6,3
4,7,3
5,8,3
5,8,3
5,7,2
5,7,2
5,6,1
5,7,2
5,7,2
5,7,2
5,7,2
5,7,2
5,7,2
5,7,2
5,7,2
5,6,1
5,6,1
5,6,1
5,6,1
5,5,0
5,5,0
5,5,0
4,4,0
4,4,0
4,4,0
4,4,0
4,5,1
4,5,1
4,4,0
4,5,1
4,4,0
4,4,0
4,4,0
3,3,0
3,3,0
3,4,1
4,4,0
4,5,1
4,4,0
4,5,1
4,4,0
3,3,0
3,3,0
3,4,1
3,3,0
3,4,1
3,4,1
3,4,1
3,5,2
3,4,1
3,4,1
3,3,0
3,4,1
4,5,1
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,5,1
4,5,1
4,5,1
4,5,1
4,6,2
4,5,1
4,6,2
4,6,2
4,6,2
4,5,1
4,6,2
4,6,2
4,5,1
4,5,1
4,5,1
4,5,1
4,6,2
5,7,2
5,6,1
4,5,1
4,6,2
4,6,2
4,5,1
4,5,1
4,4,0
3,4,1
3,4,1
3,5,2
3,5,2
3,4,1
3,4,1
3,4,1
3,4,1
3,4,1
3,5,2
3,4,1
3,5,2
3,5,2
3,4,1
3,4,1
3,3,0
3,3,0
3,4,1
4,4,0
4,4,0
3,3,0
3,3,0
3,4,1
3,3,0
3,3,0
3,3,0
3,3,0
3,4,1
3,4,1
3,5,2
3,5,2
3,5,2
3,5,2
3,5,2
3,6,3
3,6,3
4,6,2
4,7,3
4,7,3
5,8,3
5,7,2
5,8,3
5,7,2
5,7,2
4,6,2
4,6,2
4,7,3
4,7,3
4,6,2
4,6,2
4,7,3
4,7,3
4,7,3
4,6,2
4,6,2
4,6,2
4,7,3
4,6,2
4,6,2
4,7,3
5,7,2
5,8,3
5,7,2
5,7,2
5,7,2
4,7,3
5,7,2
5,7,2
5,8,3
5,7,2
5,7,2
5,7,2
5,7,2
5,7,2
5,8,3
5,8,3
5,8,3
5,7,2
5,7,2
5,7,2
5,7,2
5,7,2
5,7,2
5,8,3
5,7,2
5,8,3
5,8,3
6,8,2
5,7,2
5,7,2
5,8,3
5,7,2
5,7,2
5,6,1
5,6,1
4,5,1
4,6,2
4,6,2
4,5,1
4,6,2
5,6,1
5,6,1
5,7,2
6,7,1
6,7,1
5,6,1
5,6,1
5,6,1
5,6,1
5,6,1
5,7,2
6,7,1
5,6,1
5,6,1
5,6,1
5,6,1
5,6,1
5,7,2
5,7,2
5,8,3
5,7,2
5,7,2
5,7,2
5,7,2
5,8,3
5,7,2
5,7,2
5,7,2
5,7,2
5,7,2
5,7,2
5,7,2
5,8,3
5,8,3
5,7,2
5,8,3
6,9,3
7,9,2
7,10,3
7,10,3
8,10,2
8,10,2
8,10,2
8,10,2
7,9,2
7,10,3
7,9,2
7,9,2
7,10,3
7,9,2
7,10,3
7,9,2
7,10,3
7,10,3
7,9,2
7,9,2
7,9,2
7,9,2
7,9,2
7,9,2
7,10,3
7,9,2
7,9,2
7,9,2
7,8,1
7,8,1
7,9,2
8,9,1
8,10,2
8,10,2
8,10,2
9,10,1
9,10,1
9,9,0
9,10,1
9,9,0
9,9,0
9,10,1
9,9,0
8,8,0
8,8,0
8,8,0
8,8,0
8,8,0
8,8,0
8,8,0
8,8,0
8,9,1
9,9,0
8,9,1
8,9,1
8,8,0
8,8,0
8,8,0
8,8,0
8,9,1
8,8,0
8,8,0
8,9,1
8,8,0
8,9,1
8,8,0
8,8,0
8,8,0
7,8,1
7,7,0
7,7,0
7,7,0
7,7,0
7,7,0
7,7,0
7,7,0
7,7,0
7,7,0
7,7,0
6,7,1
6,6,0
6,6,0
6,7,1
6,6,0
6,6,0
6,7,1
6,6,0
6,7,1
6,7,1
6,6,0
6,6,0
6,6,0
6,6,0
5,6,1
5,6,1
6,6,0
6,6,0
6,7,1
6,7,1
6,7,1
6,7,1
6,7,1
6,7,1
6,6,0
6,6,0
6,6,0
6,6,0
6,6,0
6,6,0
5,5,0
5,5,0
5,5,0
5,5,0
4,5,1
4,5,1
4,6,2
4,5,1
4,6,2
5,6,1
5,6,1
5,7,2
5,7,2
5,6,1
5,6,1
5,7,2
5,6,1
5,6,1
5,6,1
5,6,1
5,5,0
5,5,0
5,6,1
6,6,0
5,5,0
5,6,1
5,5,0
5,6,1
5,6,1
5,6,1
5,5,0
5,5,0
5,5,0
5,5,0
5,6,1
6,6,0
6,6,0
6,7,1
7,7,0
7,7,0
6,7,1
6,6,0
6,7,1
6,6,0
6,6,0
6,7,1
6,7,1
6,7,1
6,7,1
6,6,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,6,1
5,5,0
5,6,1
6,7,1
7,7,0
6,6,0
6,7,1
6,6,0
6,6,0
6,6,0
6,6,0
6,7,1
6,7,1
7,8,1
7,7,0
7,8,1
7,8,1
8,9,1
8,8,0
8,8,0
8,9,1
8,8,0
8,8,0
8,8,0
8,8,0
8,9,1
8,9,1
9,10,1
9,9,0
9,10,1
9,9,0
9,9,0
9,9,0
9,9,0
9,9,0
9,9,0
9,9,0
9,9,0
9,9,0
9,9,0
8,8,0
8,8,0
8,8,0
7,7,0
7,8,1
7,7,0
7,7,0
7,7,0
7,7,0
6,6,0
6,7,1
6,6,0
6,6,0
6,6,0
6,6,0
6,7,1
7,7,0
6,6,0
6,6,0
6,6,0
5,5,0
5,5,0
5,6,1
5,5,0
5,5,0
4,5,1
4,5,1
5,5,0
5,6,1
5,5,0
5,5,0
5,5,0
5,5,0
4,4,0
4,4,0
4,5,1
4,5,1
4,5,1
4,6,2
4,6,2
4,6,2
4,7,3
4,6,2
4,7,3
4,7,3
5,8,3
5,9,4
5,8,3
